Input State,Input Size,Selection,Interchange,Insertion,Bubble,Shaker,Shell,Quick,Merge,Heap,Radix
Sorted,1000,4,4,0,8,3,4,0,6,0,1
Sorted,5000,48,33,0,82,51,100,0,7,1,2
Sorted,10000,202,145,0,157,155,268,0,57,2,2
Sorted,50000,3717,3671,0,5450,4052,6478,5,651,21,11
Sorted,100000,24619,20802,1,28244,25563,39077,13,2468,39,32
Sorted,250000,163072,163146,3,172549,181895,252120,42,91885,82,77
Reversed,1000,0,21,3,24,23,3,0,2,0,0
Reversed,5000,66,656,78,586,581,123,0,14,0,4
Reversed,10000,295,2325,239,2388,2339,480,4,30,5,3
Reversed,50000,6496,58671,6635,57683,57677,9916,10,558,20,20
Reversed,100000,24670,218863,25190,207698,123621,21103,9,1118,18,14
Reversed,250000,81871,743701,83881,761906,760898,130877,25,51572,50,43
Random,1000,2,6,1,8,7,3,0,1,0,0
Random,5000,34,181,18,249,237,65,1,7,0,0
Random,10000,136,726,75,906,782,265,2,14,2,1
Random,50000,3464,16340,1727,21120,19507,5520,12,271,12,8
Random,100000,13574,52275,7239,88650,86941,23036,16,1174,16,15
Random,250000,94282,219296,41498,551138,520000,129542,65,51581,87,65
NearlySorted,1000,2,3,1,1,2,4,0,1,0,1
NearlySorted,5000,52,84,0,116,94,199,0,20,2,5
NearlySorted,10000,197,242,0,351,320,521,1,38,3,3
NearlySorted,50000,6245,6003,1,6558,6352,9377,6,505,15,11
NearlySorted,100000,17522,14428,3,21836,27515,40707,20,2133,42,29
NearlySorted,250000,127393,121128,10,152561,163035,227068,50,87582,69,71
